CNTR_CODE,NUTS_ID,NUTS_NAME,Panel C
FR,FRG02,Maine-et-Loire,2.812549347
UK,UKL22,Cardiff,2.797138115
UK,UKM50,Aberdeen,2.785609792
UK,UKK23,Somerset,2.783318519
FR,FRH03,Ille-et-Vilaine,2.773909917
FR,FRI13,Landes,2.771405365
UK,UKL14,South,2.761796562
UK,UKJ14,Oxfordshire,2.751856086
BE,BE225,Arr.,2.748625043
UK,UKN06,Belfast,2.744114008
FR,FRH02,Finistère,2.739200544
PT,PT16D,Região,2.735472497
IE,IE062,Mid-East,2.714163965
ES,ES512,Girona,2.705170532
UK,UKF15,North,2.691680211
ES,ES615,Huelva,2.69090901
BE,BE345,Arr.,2.682885155
BE,BE331,Arr.,2.674617674
FR,FRG04,Sarthe,2.65425353
ES,ES521,Alicante/Alacant,2.644394462
UK,UKN0A,Derry,2.637108734
DK,DK013,Nordsjælland,2.623697635
UK,UKG11,"Herefordshire,",2.617223633
FR,FRD21,Eure,2.611931887
IE,IE041,Border,2.609931207
FR,FRK23,Drôme,2.601284266
FR,FRC12,Nièvre,2.598253807
FR,FRJ23,Haute-Garonne,2.585442414
FR,FRB06,Loiret,2.564382651
FR,FRE12,Pas-de-Calais,2.562887677
FR,FRF31,Meurthe-et-Moselle,2.546229871
FI,FI197,Pirkanmaa,2.528361022
FR,FRK24,Isère,2.525705724
IE,IE052,South-East,2.519251532
FR,FRL01,Alpes-de-Haute-Provence,2.513851051
FR,FRK27,Savoie,2.493649457
BE,BE328,Arr.,2.493276115
NL,NL226,Arnhem/Nijmegen,2.477945262
FR,FRJ25,Lot,2.464415753
FR,FRK22,Ardèche,2.448778318
DK,DK042,Østjylland,2.43323452
ES,ES616,Jaén,2.408818918
SE,SE214,Gotlands,2.401867104
BE,BE235,Arr.,2.40104792
ES,ES514,Tarragona,2.399175054
ES,ES617,Málaga,2.392893967
UK,UKM94,South,2.38730871
UK,UKH16,North and,2.374382461
UK,UKD12,East,2.369048771
FR,FRI15,Pyrénées-Atlantiques,2.366384761
PL,PL711,Miasto,2.36610518
FR,FR102,Seine-et-Marne,2.31743368
ES,ES431,Badajoz,2.315579348
AT,AT122,Niederösterreich-Süd,2.314561176
SE,SE231,Hallands,2.310652804
UK,UKM71,Angus,2.299450337
ES,ES414,Palencia,2.289397863
UK,UKD63,Cheshire,2.277095288
FR,FRE11,Nord,2.271983155
UK,UKK12,Bath,2.253838938
BE,BE241,Arr.,2.252231739
FR,FRJ27,Tarn,2.247232367
ES,ES412,Burgos,2.24548085
UK,UKH32,Thurrock,2.245464848
FR,FRB05,Loir-et-Cher,2.23682193
FR,FRJ11,Aude,2.235073639
LU,LU000,Luxembourg,2.223598023
IE,IE053,South-West,2.223047747
FR,FRF21,Ardennes,2.217464246
UK,UKH11,Peterborough,2.216318732
UK,UKD34,Greater,2.212521295
SE,SE221,Blekinge,2.211261219
FR,FRF11,Bas-Rhin,2.204067472
IT,ITG11,Trapani,2.187698072
EL,EL305,Ανατολική,2.179363749
NL,NL132,Zuidoost-Drenthe,2.178571705
NL,NL324,Agglomeratie,2.177825148
UK,UKM76,Falkirk,2.174366382
ES,ES230,La,2.09385864
PT,PT181,Alentejo,2.084330335
UK,UKD44,Lancaster,2.082083084
SI,SI037,Jugovzhodna,2.078717112
UK,UKK24,"Bournemouth,",2.073728998
ES,ES511,Barcelona,2.065075359
UK,UKI52,Barking,2.057598203
FR,FRI14,Lot-et-Garonne,2.022082679
FR,FRC21,Doubs,2.012808658
UK,UKE12,East,2.005090996
FR,FRI11,Dordogne,2.0039006
UK,UKF24,West,2.001050987
FI,FI1C2,Kanta-Häme,1.994066548
UK,UKJ32,Southampton,1.988738277
UK,UKI54,Enfield,1.982560425
ES,ES130,Cantabria,1.978095232
FR,FRJ21,Ariège,1.97725744
FR,FRJ28,Tarn-et-Garonne,1.966897622
SE,SE123,Östergötlands,1.953745398
BE,BE352,Arr.,1.948243061
FR,FRJ13,Hérault,1.945701223
DK,DK041,Vestjylland,1.943341491
UK,UKI51,Bexley,1.930903956
NL,NL412,Midden-Noord-Brabant,1.923500008
UK,UKK30,Cornwall,1.913254176
SE,SE211,Jönköpings,1.895577742
FR,FRL06,Vaucluse,1.877621262
ES,ES419,Zamora,1.876423327
FR,FR104,Essonne,1.873642483
UK,UKH12,Cambridgeshire,1.873618494
PT,PT170,Área,1.873075998
FR,FR108,Val-d’Oise,1.819771259
ES,ES513,Lleida,1.816718608
UK,UKJ22,East,1.810921393
UK,UKJ11,Berkshire,1.797884402
ES,ES612,Cádiz,1.797553625
UK,UKM64,Na,1.796557673
ES,ES111,A,1.793859346
UK,UKF30,Lincolnshire,1.787751442
SE,SE322,Jämtlands,1.783916286
SE,SE122,Södermanlands,1.770553417
UK,UKD61,Warrington,1.76736995
FI,FI1C3,Päijät-Häme,1.765554599
UK,UKL18,Swansea,1.763220218
ES,ES415,Salamanca,1.762383987
DK,DK022,Vest-,1.748398779
UK,UKH15,Norwich,1.742042334
SE,SE213,Kalmar,1.730779726
UK,UKI32,Westminster,1.722317387
BE,BE255,Arr.,1.720387065
ES,ES242,Teruel,1.71441338
ES,ES120,Asturias,1.713967691
NL,NL131,Noord-Drenthe,1.711472086
DK,DK050,Nordjylland,1.706906656
ES,ES243,Zaragoza,1.705081918
UK,UKJ35,South,1.700432111
UK,UKL21,Monmouthshire,1.696993267
UK,UKI75,Hounslow,1.676872559
UK,UKL17,Bridgend,1.668725643
NL,NL126,Zuidoost-Friesland,1.663842067
ES,ES417,Soria,1.655729359
EL,EL613,"Μαγνησία,",1.654684127
UK,UKD71,East,1.648881429
IT,ITH41,Pordenone,1.641772355
IT,ITI21,Perugia,1.63255358
FR,FR103,Yvelines,1.616460432
SE,SE331,Västerbottens,1.614685555
ES,ES523,Valencia/València,1.60318273
SE,SE124,Örebro,1.599657279
AT,AT333,Osttirol,1.591687163
FR,FRJ12,Gard,1.582161128
IT,ITC15,Novara,1.581501676
AT,AT314,Steyr-Kirchdorf,1.578411706
ES,ES611,Almería,1.578015304
FR,FRB04,Indre-et-Loire,1.577730302
FR,FRM02,Haute-Corse,1.553853331
DK,DK031,Fyn,1.544504612
DK,DK011,Byen,1.541731985
SE,SE121,Uppsala,1.540417673
ES,ES112,Lugo,1.535753075
ES,ES618,Sevilla,1.532082278
UK,UKC22,Tyneside,1.529317992
UK,UKL11,Isle,1.526435468
UK,UKM81,East,1.52173332
NL,NL125,Zuidwest-Friesland,1.507126212
FI,FI194,Etelä-Pohjanmaa,1.505264411
DK,DK021,Østsjælland,1.496718749
AT,AT212,Oberkärnten,1.495256971
BE,BE223,Arr.,1.490528408
NL,NL112,Delfzijl,1.489385341
EL,EL306,Δυτική,1.488411508
NL,NL221,Veluwe,1.483189549
SE,SE212,Kronobergs,1.48099067
IT,ITH58,Forlì-Cesena,1.467537864
IE,IE061,Dublin,1.466827251
ES,ES613,Córdoba,1.453368442
BE,BE211,Arr.,1.446633784
AT,AT125,Weinviertel,1.436265576
SE,SE125,Västmanlands,1.433962151
UK,UKE44,Calderdale,1.433257127
FI,FI1C5,Etelä-Karjala,1.4323299
PT,PT11C,Tâmega,1.427456884
SE,SE332,Norrbottens,1.418452632
SE,SE321,Västernorrlands,1.41327442
UK,UKM83,"Inverclyde,",1.407659364
IT,ITG19,Siracusa,1.405886718
UK,UKK11,"Bristol,",1.394748472
AT,AT130,Wien,1.386712575
UK,UKC12,South,1.383969088
DK,DK012,Københavns,1.383842747
FI,FI1C1,Varsinais-Suomi,1.383531305
BE,BE231,Arr.,1.380129268
ES,ES418,Valladolid,1.378144394
AT,AT311,Innviertel,1.376142265
FR,FRK26,Rhône,1.371527974
NL,NL423,Zuid-Limburg,1.370842732
ES,ES213,Bizkaia,1.350058545
CZ,CZ010,Hlavní,1.348019576
NL,NL133,Zuidwest-Drenthe,1.342316133
ES,ES522,Castellón/Castelló,1.329262398
NL,NL323,IJmond,1.324642058
UK,UKM73,East,1.319916055
AT,AT123,Sankt,1.31951347
UK,UKI42,Tower,1.317139088
AT,AT321,Lungau,1.315131976
IE,IE051,Mid-West,1.309612657
SE,SE313,Gävleborgs,1.30469851
FR,FR106,Seine-Saint-Denis,1.294283587
NL,NL411,West-Noord-Brabant,1.291278899
FI,FI196,Satakunta,1.280683505
IT,ITI43,Roma,1.276890997
AT,AT222,Liezen,1.276012136
AT,AT312,Linz-Wels,1.270887386
FI,FI195,Pohjanmaa,1.267109108
FI,FI1D9,Pohjois-Pohjanmaa,1.264835668
NL,NL413,Noordoost-Noord-Brabant,1.263769368
IT,ITG13,Messina,1.260394761
FI,FI193,Keski-Suomi,1.247967628
FR,FRM01,Corse-du-Sud,1.243910494
BE,BE253,Arr.,1.242006447
AT,AT323,Salzburg,1.234015313
BE,BE234,Arr.,1.23369486
AT,AT334,Tiroler,1.231852934
ES,ES212,Gipuzkoa,1.227265773
FI,FI1D5,Keski-Pohjanmaa,1.22682185
IT,ITG15,Caltanissetta,1.226752804
IT,ITH32,Vicenza,1.217407054
AT,AT223,Östliche,1.212924662
IT,ITG18,Ragusa,1.209494323
FR,FRJ15,Pyrénées-Orientales,1.208332153
AT,AT335,Tiroler,1.207388091
UK,UKK41,Plymouth,1.2072356
AT,AT221,Graz,1.19831288
FI,FI1B1,Helsinki-Uusimaa,1.19690967
AT,AT226,Westliche,1.195295932
NL,NL211,Noord-Overijssel,1.192254463
AT,AT342,Rheintal-Bodenseegebiet,1.186294962
IT,ITF11,L’Aquila,1.185079719
ES,ES620,Murcia,1.181175439
BE,BE236,Arr.,1.181013047
AT,AT211,Klagenfurt-Villach,1.180622944
UK,UKJ31,Portsmouth,1.177676751
NL,NL327,Het,1.172159836
NL,NL224,Zuidwest-Gelderland,1.168101268
UK,UKI41,Hackney,1.163936148
SK,SK031,Žilinský,1.150555384
BE,BE258,Arr.,1.150142664
EL,EL652,Κορινθία,1.148622848
ES,ES113,Ourense,1.146104483
EL,EL307,"Πειραιάς,",1.142624209
PL,PL911,Miasto,1.137151966
NL,NL342,Overig,1.131494516
IT,ITH44,Trieste,1.129568784
UK,UKD74,Wirral,1.125447783
IT,ITH55,Bologna,1.123187099
IT,ITC16,Cuneo,1.119779363
UK,UKI34,Wandsworth,1.118137681
IT,ITF43,Taranto,1.108510371
NL,NL328,Alkmaar,1.107173779
IT,ITG14,Agrigento,1.106414996
IT,ITG2F,Cagliari,1.105146802
IT,ITG16,Enna,1.104919419
AT,AT332,Innsbruck,1.100657718
NL,NL111,Oost-Groningen,1.100641385
NL,NL310,Utrecht,1.096689155
BE,BE254,Arr.,1.090449521
UK,UKF14,Nottingham,1.086262899
IT,ITG2E,Nuoro,1.080584718
IT,ITC11,Torino,1.079714262
IT,ITG17,Catania,1.077203505
IT,ITF63,Catanzaro,1.07595478
UK,UKI33,Kensington,1.075327639
IT,ITC12,Vercelli,1.075000748
IT,ITC18,Alessandria,1.069376076
CZ,CZ052,Královéhradecký,1.069128867
SI,SI043,Goriška,1.068699116
NL,NL113,Overig,1.064117741
IT,ITC20,Valle,1.061816045
FR,FR107,Val-de-Marne,1.053360196
PT,PT184,Baixo,1.052007774
EL,EL632,Αχαΐα,1.048531405
UK,UKH24,Bedford,1.044107064
SI,SI042,Gorenjska,1.042389552
NL,NL124,Noord-Friesland,1.041058272
IT,ITF46,Foggia,1.039361079
IT,ITI11,Massa-Carrara,1.034381613
PT,PT185,Lezíria,1.032530287
IT,ITH42,Udine,1.03243708
IT,ITG12,Palermo,1.032231186
SK,SK042,Košický,1.028281084
SK,SK022,Trenčiansky,1.027749387
PT,PT16J,Beiras,1.026933492
NL,NL332,Agglomeratie,1.025738445
PT,PT186,Alto,1.02549766
IT,ITI44,Latina,1.025154389
IT,ITC14,Verbano-Cusio-Ossola,1.024577469
DE,DE13A,Waldshut,1.022950939
IT,ITF62,Crotone,1.022869333
IT,ITG2D,Sassari,1.022691125
IT,ITI34,Ascoli,1.021248426
UK,UKI31,Camden,1.019980101
PT,PT16E,Região,1.017491721
NL,NL341,Zeeuwsch-Vlaanderen,1.016412812
IT,ITF12,Teramo,1.014960501
IT,ITH54,Modena,1.014655245
DE,DE138,Konstanz,1.012635417
IT,ITI33,Macerata,1.011776751
IT,ITH59,Rimini,1.011634095
UK,UKF11,Derby,1.010669443
BE,BE232,Arr.,1.009589465
IT,ITH57,Ravenna,1.009554631
ES,ES640,Melilla,1.009281027
NL,NL33C,Groot-Rijnmond,1.00882319
IT,ITI31,Pesaro,1.006866947
BE,BE212,Arr.,1.00621928
BE,BE251,Arr.,1.005150198
SK,SK041,Prešovský,1.004972465
IT,ITF61,Cosenza,1.003328604
BE,BE100,Arr.,1.003075162
IT,ITC4B,Mantova,1.000805351
UK,UKE21,York,0.999735169
IT,ITI32,Ancona,0.998203552
IT,ITI35,Fermo,0.997535868
IT,ITC4A,Cremona,0.99692025
PT,PT16I,Médio,0.996506139
IT,ITH56,Ferrara,0.996375231
AT,AT112,Nordburgenland,0.995124665
SK,SK032,Banskobystrický,0.992637243
IT,ITH52,Parma,0.991302169
DE,DE147,Bodenseekreis,0.991245095
IT,ITH35,Venezia,0.991014147
IT,ITI16,Livorno,0.988321109
CZ,CZ042,Ústecký,0.988266446
CZ,CZ031,Jihočeský,0.988220654
UK,UKI45,Lambeth,0.985149004
NL,NL337,Agglomeratie,0.985041898
IT,ITF47,Bari,0.984911325
CZ,CZ064,Jihomoravský,0.983926397
SK,SK023,Nitriansky,0.980310401
IT,ITH34,Treviso,0.978670308
FI,FI1C4,Kymenlaakso,0.977259027
NL,NL325,Zaanstreek,0.974651877
NL,NL329,Groot-Amsterdam,0.974412111
SI,SI032,Podravska,0.974264229
SK,SK021,Trnavský,0.974056928
AT,AT225,West-,0.971397332
NL,NL33A,Zuidoost-Zuid-Holland,0.966698096
PT,PT111,Alto,0.965740605
BE,BE332,Arr.,0.964386726
PT,PT112,Cávado,0.963404614
IT,ITF33,Napoli,0.961565135
FI,FI1D2,Pohjois-Savo,0.960712924
SI,SI041,Osrednjeslovenska,0.958804201
CZ,CZ053,Pardubický,0.952414708
NL,NL230,Flevoland,0.95127289
IT,ITH53,Reggio,0.949391834
SI,SI033,Koroška,0.949391314
CZ,CZ041,Karlovarský,0.948988681
CZ,CZ063,Kraj,0.948742894
IT,ITH51,Piacenza,0.946786426
SI,SI031,Pomurska,0.943956387
IT,ITC48,Pavia,0.943861773
UK,UKD45,Mid,0.94328507
IT,ITH43,Gorizia,0.939301096
PT,PT16H,Beira,0.938985795
UK,UKF16,South,0.934059955
FI,FI1D8,Kainuu,0.933324872
UK,UKM95,South,0.933307209
FR,FRL03,Alpes-Maritimes,0.930172599
AT,AT331,Außerfern,0.929217152
UK,UKF21,Leicester,0.928557689
UK,UKM75,"Edinburgh,",0.924340863
CZ,CZ071,Olomoucký,0.923420141
NL,NL33B,Oost-Zuid-Holland,0.922780942
AT,AT127,Wiener,0.922013516
FR,FR105,Hauts-de-Seine,0.922004085
PT,PT187,Alentejo,0.9214996
IT,ITG2G,Oristano,0.918784897
UK,UKJ13,Buckinghamshire,0.918197311
CZ,CZ032,Plzeňský,0.917611054
UK,UKL23,Flintshire,0.917256323
NL,NL333,Delft,0.915485872
PT,PT11A,Área,0.911719397
AT,AT124,Waldviertel,0.910071885
CZ,CZ072,Zlínský,0.908458512
AT,AT121,Mostviertel-Eisenwurzen,0.903241394
CZ,CZ020,Středočeský,0.903183403
PT,PT16G,Viseu,0.901557249
CZ,CZ080,Moravskoslezský,0.900636817
AT,AT224,Oststeiermark,0.898158373
SI,SI035,Zasavska,0.89603177
PT,PT119,Ave,0.895383907
SI,SI036,Posavska,0.893707157
SI,SI034,Savinjska,0.888248995
IT,ITF35,Salerno,0.884145256
UK,UKM77,Perth,0.878898952
AT,AT313,Mühlviertel,0.873398449
BE,BE233,Arr.,0.871869023
SK,SK010,Bratislavský,0.867414911
FI,FI1D1,Etelä-Savo,0.866722031
AT,AT126,Wiener,0.861654439
FI,FI1D7,Lappi,0.850699232
DK,DK014,Bornholm,0.849539647
FI,FI1D3,Pohjois-Karjala,0.845936565
HR,HR050,Grad,0.844514514
IT,ITF31,Caserta,0.835139839
EL,EL304,Νότιος,0.834203544
SE,SE110,Stockholms,0.832647183
UK,UKH31,Southend-on-Sea,0.83183738
SE,SE232,Västra,0.829603886
DE,DE139,Lörrach,0.825278236
UK,UKG12,Worcestershire,0.821488896
UK,UKE11,Kingston,0.802847078
IE,IE042,West,0.793260496
UK,UKI44,Lewisham,0.787873817
EL,EL303,Κεντρικός,0.787204385
UK,UKJ25,West,0.785522034
BE,BE32B,Arr.,0.785282972
UK,UKF22,Leicestershire,0.784341392
UK,UKM82,Glasgow,0.783832336
UK,UKF13,South,0.783748507
PT,PT150,Algarve,0.782197102
UK,UKD73,Sefton,0.779632855
UK,UKJ34,Isle,0.779632855
UK,UKH35,West,0.779632803
UK,UKF12,East,0.779632802
UK,UKM84,North,0.779632793
UK,UKG21,Telford,0.779632791
UK,UKD36,Greater,0.779632752
UK,UKD47,Chorley,0.77744681
UK,UKN07,Armagh,0.75479903
UK,UKM78,West,0.739751307
SE,SE311,Värmlands,0.693709113
SE,SE312,Dalarnas,0.691724734
FR,FR101,Paris,0.687695026
UK,UKJ36,Central,0.675284166
UK,UKN0C,Causeway,0.647715148
UK,UKI43,Haringey,0.643625658
EL,EL302,Δυτικός,0.580198182
UK,UKE42,Leeds,0.571260677
UK,UKJ21,Brighton,0.557455222
UK,UKH37,Essex,0.349009522
EL,EL432,Λασίθι,0.015581284
BG,BG423,Пазарджик,
BG,BG424,Смолян,
BG,BG425,Кърджали,
AT,AT111,Mittelburgenland,
AT,AT322,Pinzgau-Pongau,
AT,AT341,Bludenz-Bregenzer,
BE,BE256,Arr.,
BE,BE32C,Arr.,
BE,BE32D,Arr.,
BE,BE334,Arr.,
BE,BE335,Arr.,
BE,BE336,Bezirk,
BE,BE341,Arr.,
BG,BG311,Видин,
BG,BG312,Монтана,
BG,BG313,Враца,
BG,BG314,Плевен,
BG,BG315,Ловеч,
BG,BG321,Велико,
BG,BG322,Габрово,
BG,BG323,Русе,
BG,BG324,Разград,
BG,BG325,Силистра,
BG,BG331,Варна,
BG,BG332,Добрич,
BG,BG333,Шумен,
BG,BG334,Търговище,
BG,BG341,Бургас,
BG,BG342,Сливен,
BG,BG343,Ямбол,
BG,BG344,Стара,
BG,BG411,София,
BG,BG412,София,
BG,BG413,Благоевград,
BG,BG414,Перник,
BG,BG415,Кюстендил,
BG,BG421,Пловдив,
BG,BG422,Хасково,
DE,DE736,Waldeck-Frankenberg,
DE,DE737,Werra-Meißner-Kreis,
DE,DE803,"Rostock,",
DE,DE804,"Schwerin,",
DE,DE80J,Mecklenburgische,
DE,DE80K,Landkreis,
DE,DE80L,Vorpommern-Rügen,
DE,DE80M,Nordwestmecklenburg,
DE,DE80N,Vorpommern-Greifswald,
DE,DE80O,Ludwigslust-Parchim,
DE,DE911,"Braunschweig,",
DE,DE912,"Salzgitter,",
DE,DE913,"Wolfsburg,",
DE,DE914,Gifhorn,
DE,DE916,Goslar,
DE,DE917,Helmstedt,
DE,DE918,Northeim,
DE,DE91A,Peine,
DE,DE91B,Wolfenbüttel,
DE,DE91C,Göttingen,
DE,DE922,Diepholz,
DE,DE923,Hameln-Pyrmont,
DE,DE925,Hildesheim,
DE,DE926,Holzminden,
DE,DE927,Nienburg,
DE,DE928,Schaumburg,
DE,DE40B,Oberspreewald-Lausitz,
DE,DE40C,Oder-Spree,
DE,DE40D,Ostprignitz-Ruppin,
DE,DE40E,Potsdam-Mittelmark,
DE,DE40F,Prignitz,
DE,DE40G,Spree-Neiße,
DE,DE40H,Teltow-Fläming,
DE,DE40I,Uckermark,
DE,DE501,"Bremen,",
DE,DE502,"Bremerhaven,",
DE,DE600,Hamburg,
DE,DE711,"Darmstadt,",
DE,DE712,Frankfurt,
DE,DE713,Offenbach,
DE,DE714,"Wiesbaden,",
DE,DE715,Bergstraße,
DE,DE716,Darmstadt-Dieburg,
DE,DE717,Groß-Gerau,
DE,DE718,Hochtaunuskreis,
DE,DE719,Main-Kinzig-Kreis,
DE,DE71A,Main-Taunus-Kreis,
DE,DE71B,Odenwaldkreis,
DE,DE71C,"Offenbach,",
DE,DE71D,Rheingau-Taunus-Kreis,
DE,DE71E,Wetteraukreis,
DE,DE721,"Gießen,",
DE,DE722,Lahn-Dill-Kreis,
DE,DE723,Limburg-Weilburg,
DE,DE724,Marburg-Biedenkopf,
DE,DE725,Vogelsbergkreis,
DE,DE731,"Kassel,",
DE,DE732,Fulda,
DE,DE929,Region,
DE,DE931,Celle,
DE,DE11A,Schwäbisch,
DE,DE11B,Main-Tauber-Kreis,
DE,DE11C,Heidenheim,
DE,DE11D,Ostalbkreis,
DE,DE121,"Baden-Baden,",
DE,DE122,"Karlsruhe,",
DE,DE123,"Karlsruhe,",
DE,DE124,Rastatt,
DE,DE125,"Heidelberg,",
DE,DE126,"Mannheim,",
DE,DE127,Neckar-Odenwald-Kreis,
DE,DE128,Rhein-Neckar-Kreis,
DE,DE129,"Pforzheim,",
DE,DE12A,Calw,
DE,DE12B,Enzkreis,
DE,DE12C,Freudenstadt,
DE,DE131,Freiburg,
DE,DE132,Breisgau-Hochschwarzwald,
DE,DE133,Emmendingen,
DE,DE134,Ortenaukreis,
DE,DE135,Rottweil,
DE,DE136,Schwarzwald-Baar-Kreis,
DE,DE137,Tuttlingen,
DE,DE141,Reutlingen,
DE,DE142,"Tübingen,",
DE,DE143,Zollernalbkreis,
DE,DE144,"Ulm,",
DE,DE145,Alb-Donau-Kreis,
DE,DE146,Biberach,
DE,DE148,Ravensburg,
